X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS
-152.320324826512,57.6055456852801,20718,AK5761615232120150828,Extended,806902020130922,806902020160829,-970,50,297,570,57.604,-152.322,Wildfire,TWIN CREEKS,-150,2015/08/28 00:00:00+00,3418,687AFCA7-BA13-47FA-A031-207CF36282B6,26151,MTBS,706902020150920,-65,26,
-157.552681271131,58.8353355216535,20719,AK5884115754320150622,Extended (SS),,807201920160717,9999,430,200,-9999,58.835,-157.556,Wildfire,COPENHAGEN CREEK,9999,2015/06/22 00:00:00+00,5335,4E0DB844-F9BC-4C32-8412-96146C4832B4,26307,MTBS,,-9999,-9999,
-156.410271959836,58.8523533478586,20720,AK5884415640120150621,Extended,807201920130709,807201920160615,-970,30,290,570,58.853,-156.422,Wildfire,PAULS CREEK,-150,2015/06/21 00:00:00+00,9683,83411C81-A862-47DA-96C7-611521AAE54F,26314,MTBS,807201920150901,-64,36,
-157.437743551691,58.9152616444646,20721,AK5890415740520150704,Extended,807201920130709,807201920160717,-970,20,275,550,58.915,-157.443,Wildfire,COPENHAGEN,-150,2015/07/04 00:00:00+00,3207,3E546BC0-7318-4D2B-8318-EED0896C812E,26310,MTBS,807201920150901,-80,12,
-160.236325919683,59.2861815398237,20722,AK5925816024020150622,Extended,807501920130730,807401920160613,-970,50,281,540,59.28,-160.233,Wildfire,GECHIAK LAKE,-150,2015/06/22 00:00:00+00,16919,390ED0A0-5970-4E3E-9645-F8F5A3887844,26297,MTBS,807501920150805,26,16,
-158.35660361401,59.5679689588836,20723,AK5955415836020150711,Extended,807301820140804,807301820160910,-970,90,393,720,59.574,-158.358,Wildfire,LITTLE KOKWOK,-150,2015/07/11 00:00:00+00,2233,7E194CAA-B6B3-4F00-A610-7DF224FAFFBE,26340,MTBS,,86,21,
-158.246883531755,59.6151269907598,20724,AK5960815825420150621,Extended,807301820140804,807301820160910,-970,40,380,730,59.615,-158.246,Wildfire,KOKWOK RIVER,-150,2015/06/21 00:00:00+00,1923,807660E8-1647-4F72-B62F-B1C54CF610CB,26338,MTBS,707301820150831,93,28,
-159.824535212573,60.2692356409075,20725,AK6025715983220150620,Extended,807401820130824,807401820160901,-970,110,309,550,60.267,-159.815,Wildfire,LITTLE SWIFT CREEK,-150,2015/06/20 00:00:00+00,1617,AA59596A-B38B-4613-A1EC-B02EBFCF3E48,26652,MTBS,,39,21,
-157.818135464024,60.3067662133978,20726,AK6030315782720150623,Extended,807301820140804,807301820160910,-970,80,314,580,60.304,-157.814,Wildfire,KING SALMON RIVER 1,-150,2015/06/23 00:00:00+00,2418,06D4280C-4A1F-4202-84D7-608A919DCE5C,26342,MTBS,,66,17,
-150.540401997048,60.4919100521712,20727,AK6051015063620150615,Extended,806901820130618,806901820160712,-970,50,302,580,60.492,-150.545,Wildfire,CARD STREET,-150,2015/06/15 00:00:00+00,7366,B281A9C0-9062-4D03-9ECB-3194B80BE3E1,26154,MTBS,806901820150624,-88,42,
-157.472187379711,60.6829790386386,20728,AK6070715747820150622,Extended,807301820140804,807301820160910,-970,50,313,600,60.685,-157.474,Wildfire,CHICHITNOK RIVER,-150,2015/06/22 00:00:00+00,4628,AD5B2F00-B151-4D61-BA03-43A68E8804E6,26339,MTBS,,86,30,
-158.69501848785,60.7276770098158,20729,AK6071715870020150624,Extended,807401820140726,807401820160901,-970,60,414,780,60.727,-158.693,Wildfire,GEMUK RIVER,-150,2015/06/24 00:00:00+00,1001,2C27D9CA-E64D-433C-8102-1144D03B314A,26335,MTBS,807401820150729,-5,36,
-161.192454104416,60.7864459779364,20730,AK6078416129320150624,Extended,807501820150618,807601720160713,-970,40,207,410,60.783,-161.183,Wildfire,KWETHLUK RIVER 2,-150,2015/06/24 00:00:00+00,23912,BDD68196-DDAC-4FA8-AE4C-7831A2FC6CE9,26303,MTBS,,-48,16,
-160.753992267738,60.9270281893453,20731,AK6089416075820150620,Extended,807501720150618,807601720160713,-970,10,207,430,60.933,-160.772,Wildfire,FOG RIVER,-150,2015/06/20 00:00:00+00,39019,4BBC2596-1B54-413F-96B6-9E6E72227F37,26284,MTBS,,-32,16,
-153.98793938603,60.9476154060673,20732,AK6093415398520150622,Extended,807101720140705,807101720160608,-970,40,288,560,60.947,-153.986,Wildfire,OLD VILLAGE,-150,2015/06/22 00:00:00+00,1986,0C2A027E-849B-402B-ADB9-DEE988C55256,26334,MTBS,707101720150801,-48,19,
