OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
23196,1160,AK5955915812420170603,KENAKUCHUK CREEK,2017,6,3,Wildfire,5A10321A-3536-4CF3-A89A-B1E8770FBED6,10010912,MTBS,Extended,20170603,807401820170531,807301820180612,,-89,10,-970,-150,50,380,500,,59.567,-158.138,0.000745364521728795,0.239562069900243
23197,1104,AK6059615052120170616,EAST FORK,2017,6,16,Wildfire,1A9701F4-2CC0-4B80-8456-92F8BB4CD593,10010964,MTBS,Extended,20170616,806901820160712,806901820180803,,-64,19,-970,-150,10,234,480,,60.603,-150.498,0.000732359360995491,0.170061114614921
23198,2298,AK6191915808220170605,BELL CREEK,2017,6,5,Wildfire,C98E06E8-0F8C-45AF-949D-70CF6458E703,10011028,MTBS,Extended (SS),20170605,,807401720180603,,-9999,-9999,9999,9999,150,-9999,-130,Used modified Geomac perimeter.,61.907,-158.07,0.00158804842324421,0.452410706334688
23199,16851,AK6242515405720170605,PITKA FORK,2017,6,5,Wildfire,142D0B21-2C27-4B8A-875A-BC2E0B63ECF5,10010985,MTBS,Extended,20170605,807301620160622,807301620180612,,70,28,-970,-150,100,321,580,,62.446,-154.12,0.0118529693302716,0.723652843327278
23200,15887,AK6246815764320170605,BALL CREEK,2017,6,5,Wildfire,2C007BB1-9855-425F-A852-6C69C2DE4A9A,10010979,MTBS,Extended,20170605,807501620150618,707401620180611,,21,20,-970,-150,50,290,550,Used modified GeoMac perimeter,62.451,-157.665,0.011175139075429,1.36371455422579
23201,2501,AK6255516315320170607,ALLEN,2017,6,7,Wildfire,2B4F6923-8854-45F4-86B3-501F635FE76F,10010931,MTBS,Extended,20170607,807701620160602,807801620180615,,-38,9,-970,-150,50,280,9999,,62.545,-163.163,0.00176485875657538,0.338780790502549
23202,17846,AK6257015857720170604,LITTLE YETNA RIVER,2017,6,4,Wildfire,D3AAABF1-D21F-4768-A605-4698B313BEEB,10010966,MTBS,Extended,20170604,807601620160713,807601620180703,,-33,8,-970,-150,50,320,560,,62.537,-158.622,0.0125910541932603,1.22288134184889
23203,2678,AK6311316234420170606,KOGOK RIVER,2017,6,6,Wildfire,C6B8F26B-5703-4C24-B1A1-573412B32737,10010930,MTBS,Extended,20170606,807701620160602,807801620180615,,-38,9,-970,-150,50,260,9999,,63.126,-162.332,0.00192794700787052,0.252001175061677
23204,6137,AK6315616260120170607,KOGOK 3,2017,6,7,Wildfire,14FA22FA-6A8C-4B81-869D-085171A70D8E,10010933,MTBS,Initial,20170607,807701620160602,807701620170707,,-83,15,-970,-150,50,195,380,,63.135,-162.633,0.00441754464146897,0.427931795349484
23205,13642,AK6317315684320170604,AMERICAN CREEK,2017,6,4,Wildfire,91068E54-7C07-4C4F-AA8A-B44162E3903D,10010977,MTBS,Extended,20170604,807501620150602,707301620180706,,-86,25,-970,-150,50,260,520,Used modified GeoMac perimeter.,63.144,-156.908,0.00982455808595383,0.914686336531776
23206,3149,AK6317316283720170616,ROMANOFF,2017,6,16,Wildfire,B8494C1F-E7D7-4AD3-BF8F-EF9E364DEA88,10010928,MTBS,Extended,20170616,807701620160602,807801620180615,,-37,9,-970,-150,50,280,9999,,63.172,-162.775,0.00226969039361501,0.340820811379179
23207,12147,AK6322016206520170607,NONVALNUK,2017,6,7,Wildfire,28CF973E-9208-4818-A8D9-9C8DC38C6FB6,10010926,MTBS,Extended,20170607,807701620160602,807801620180615,,-35,8,-970,-150,50,280,9999,,63.2,-162.072,0.00876463427939178,0.650227602271929
23208,16983,AK6337716132420170607,TOIK HILL,2017,6,7,Wildfire,6DDDCE48-8785-43AA-BD64-AB8A20C99B34,10010936,MTBS,Extended,20170607,807701620160602,807801620180615,,-38,9,-970,-150,50,260,9999,,63.37,-161.345,0.0123267127140338,0.984615733083965
23209,3828,AK6371715332120170715,CHLECA LAKES,2017,7,15,Wildfire,AF93B1A8-67EE-4699-8E1E-3EEBD31AF943,10010998,MTBS,Extended,20170715,807201520160615,807201520180707,,-40,14,-970,-150,50,250,480,,63.73,-153.264,0.00281276570311213,0.588655980973323
23210,6772,AK6401314634520170424,DTAW OKLAHOMA IMPACT AREA RX,2017,4,24,Prescribed Fire,98BBEE80-89F6-4912-99B0-E4E35DA47F83,10011238,MTBS,Initial (SS),20170424,,806901520170613,,-9999,-9999,9999,9999,400,-9999,-9999,,63.945,-146.41,0.00501388035506892,1.06897836308164
23211,3108,AK6426716014820170607,RIVER NORTH,2017,6,7,Wildfire,7B6A1F62-2236-4F01-B37E-92889B6F05EB,10010975,MTBS,Extended,20170607,807701520160704,807801520180818,,-18,8,-970,-150,50,280,500,,64.257,-160.168,0.00232762030072386,0.421873279940186
23212,53735,AK6437515411820170714,NOWITNA,2017,7,14,Wildfire,191EA478-D10B-4C88-B015-835CC494A82E,10010984,MTBS,Extended,20170714,807201520150731,807201520180723,,-57,11,-970,-150,50,250,500,Used modified GeoMac perimeter,64.381,-153.925,0.040417345690264,3.00297375318412
23213,8217,AK6444414555320170608,SOUTH FORK SALCHA,2017,6,8,Wildfire,1C166729-9871-415C-AB4E-D72CA0EAB2B1,10011023,MTBS,Extended,20170608,806701520160831,806901520180819,,6,23,-970,-150,5,310,550,,64.425,-145.624,0.00619192827581669,1.19989531173068
23214,2800,AK6510214163820170622,TROUT CREEK,2017,6,22,Wildfire,C0BD59B1-6D5C-4552-9E7C-201571B6EFCB,10011053,MTBS,Extended,20170622,806501520160513,806501420180620,,-56,8,-970,-150,50,250,600,,65.081,-141.605,0.00216125169903471,0.510603877184043
23215,2496,AK6569314555120170627,LOPER CREEK,2017,6,27,Wildfire,3BCA8DE3-A9AE-4617-999D-6DC536FB9362,10011049,MTBS,Initial,20170627,806801420150804,806801420170708,,22,14,-970,-150,30,310,480,,65.699,-145.587,0.00197252711392282,0.440798742664928
23216,1166,AK6588714356920170706,PADDLE CREEK,2017,7,6,Wildfire,21207F32-B0BD-42F8-A1FA-C4A7AC6EC464,10011007,MTBS,Extended,20170706,806701420160714,806701420180704,806701420170717,-20,14,-970,-150,45,285,520,,65.884,-143.582,0.000928549021493355,0.47268782245665
23217,48086,AK6596714285020170709,BEAR MOUNTAIN,2017,7,9,Wildfire,7391C476-78BC-4C8D-A100-61644BBF6828,10011032,MTBS,Extended,20170709,806801420150804,806701420180704,806701420170903,5,35,-970,-150,80,380,640,,65.938,-142.777,0.0383541411141754,2.90482430309165
23218,2070,AK6643715657220170418,ZANE HILLS,2017,4,18,Wildfire,F056BE2F-6AAE-479F-BB00-E1FEBBE12D82,10010970,MTBS,Initial,20170418,807701320160602,807701320170605,,-82,10,-970,-150,80,9999,9999,,66.455,-156.578,0.00168462442991361,0.401708661265828
23219,2877,AK6663515716020170628,KIHOVILIK CREEK,2017,6,28,Wildfire,6BE59E0A-1E92-4FDE-8112-4E03D05C4B94,10011004,MTBS,Initial,20170628,807601320160713,707601320170708,815323120170626,-66,12,-970,-150,50,280,9999,Used modified Geomac perimeter.,66.634,-157.162,0.00235804039172239,0.55445476398109
23220,21904,AK6670015705020170607,LOCKWOOD,2017,6,7,Wildfire,269FE96B-C38B-4142-8737-7A1C7D54292E,10011000,MTBS,Initial,20170607,807601320160713,707601320170708,815323120170626,-62,18,-970,-150,50,280,9999,Used modified Geomac perimeter,66.672,-157.182,0.017985691453115,1.69814567779476
