X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS
-156.171032068305,61.2561500966155,24486,AK6126915624720180606,Extended,807201720170602,807401720190606,-970,-20,311,645,61.256,-156.175,Wildfire,DOOR MOUNTAINS,-150,2018/06/06 00:00:00+00,10548,FC57B0E1-A06D-4F41-928C-D6BD289DBB4A,10013583,MTBS,,-71,20,
-154.463986431459,62.3736533003787,24487,AK6237715448220180605,Extended,807201620170602,807201620190710,-970,-70,180,9999,62.37,-154.464,Wildfire,TRIMOKISH HILLS,-150,2018/06/05 00:00:00+00,1487,97595FB4-8217-4D14-B41C-E3B225495D9C,10013565,MTBS,,-128,11,
-158.176399950126,62.5687210208613,24488,AK6257215816520180605,Extended,A04VEQ20180604_30m,A04VEQ20190609_30m,-970,-60,175,420,62.569,-158.173,Wildfire,BELLA CREEK,-150,2018/06/05 00:00:00+00,2572,5513CB81-A052-4572-8DD0-EFE24E88ABC7,10013639,MTBS,,-97,13,
-142.328721563451,62.7870170715032,24489,AK6283014236020180723,Extended,806501620150815,806401620190803,-970,80,330,610,62.778,-142.327,Wildfire,TAIXTSALDA HILL,-150,2018/07/23 00:00:00+00,28055,89D26F97-A633-40FB-8FC1-DA13AFDEF9F9,10014252,MTBS,,41,12,Used geomac perimeter with some edits. Also used 2019 fire perimeter from geomac to determine boundaries to separate 2019 fire to the North. Also used s2 B07VDK20190507 2019 scene before 2019 fire to edit North boundary.
-152.537227085194,63.2750591600468,24490,AK6328715249520180614,Extended,807101620170713,807201620190710,-970,20,275,550,63.279,-152.534,Wildfire,SWIFT FORK,-150,2018/06/14 00:00:00+00,17735,40F39456-EB93-4FDB-A996-A9B908ED6945,10013562,MTBS,,8,16,
-156.759065656418,63.5913666839892,24491,AK6359615673320180604,Initial,A05VLL20170606_30m,A05VLL20180611_30m,-970,-15,285,9999,63.587,-156.76,Wildfire,NORTH INNOKO,-150,2018/06/04 00:00:00+00,1868,703F3571-F355-4FA6-8B9D-0C50CA5B5318,10013623,MTBS,,-44,14,
-154.049514606555,63.7381599982769,24492,AK6367815403420180611,Extended,A05VML20170613_30m,A05VML20190706_30m,-970,25,274,545,63.747,-154.047,Wildfire,WHITE MOUNTAIN CREEK,-150,2018/06/11 00:00:00+00,30001,8167ECB4-61A5-40F3-9771-60B03E0D8DD4,10013579,MTBS,,-15,17,
-146.351633956163,63.9707089219062,24493,AK6398014635320180506,Initial,A06VWR20170614_30m,B06VWR20180528_30m,-970,160,9999,9999,63.966,-146.353,Prescribed Fire,1X OKLAHOMA RANGE,-150,2018/05/06 00:00:00+00,22322,,10013522,MTBS,,130,24,
-150.815780412264,64.2402575719668,24494,AK6423415084520180609,Initial,807201520170805,807201520180707,-970,45,580,9999,64.24,-150.818,Wildfire,LYNX CREEK,-150,2018/06/09 00:00:00+00,2494,AB0642FA-64B6-498C-99AD-574550576BB5,10013538,MTBS,,10,23,
-159.802331576669,64.2112031177516,24495,AK6424915978620180610,Extended,807701520170707,807601520190706,-970,20,270,540,64.216,-159.802,Wildfire,UNALAKLEET RIVER,-150,2018/06/10 00:00:00+00,3374,6A36779E-827A-4E6A-B586-7EFB6ACB8611,10013640,MTBS,,-22,11,
-150.510347141145,64.7711768705309,24496,AK6477315072320180604,Extended,807201420170805,807101520190820,-970,100,337,610,64.773,-150.511,Wildfire,ZITZIANA RIVER,-150,2018/06/04 00:00:00+00,70350,D8B38463-449D-4924-A094-FA5F98911149,10013528,MTBS,,46,18,
-150.995499608763,64.8437379037594,24497,AK6481415114120180607,Extended,807201420170805,807101520190820,-970,100,343,620,64.843,-150.975,Wildfire,MOOSEHEART,-150,2018/06/07 00:00:00+00,54693,87FAEBD7-E02B-45F7-B66D-965C124F637F,10013535,MTBS,,46,18,
-155.391576946382,65.2315893956463,24498,AK6528615534420180606,Extended,B04WFT20170704_30m,A04WFT20190818_30m,-970,40,272,530,65.226,-155.392,Wildfire,DULBY HOT SPRINGS,-150,2018/06/06 00:00:00+00,43493,560400D2-EB96-481D-92BD-4D7784A7DDD3,10013456,MTBS,,-14,14,
-142.933570669925,65.3120039670375,24499,AK6533214294020180724,Extended,A06WXT20170614_30m,B06WXT20190706_30m,-970,50,275,530,65.307,-142.918,Wildfire,ANDREW CREEK,-150,2018/07/24 00:00:00+00,7789,E748E817-4990-49BF-80A8-0220B9A01217,10013700,MTBS,,28,9,
-143.550204649148,65.3642427530149,24500,AK6536014353220180605,Extended,A06WXT20170614_30m,B06WXT20190706_30m,-970,40,277,540,65.365,-143.552,Wildfire,WEBBER CREEK,-150,2018/06/05 00:00:00+00,7224,464E085A-7AA0-49C8-B633-015BDBC0B694,10013699,MTBS,,14,10,
-155.098200327453,65.387157080529,24501,AK6538715507520180723,Extended,B04WFT20170704_30m,A04WFT20190818_30m,-970,40,320,590,65.386,-155.102,Wildfire,RADIO CREEK,-150,2018/07/23 00:00:00+00,3052,718B6ACA-BB8D-4876-A6FC-0FC533F3E02C,10013452,MTBS,,-14,14,
-153.682388917753,65.4219788814341,24502,AK6547115368720180606,Extended,A05WMN20170613_30m,A05WMN20190706_30m,-970,-10,253,530,65.432,-153.646,Wildfire,LITTLE MELOZITNA RIVER,-150,2018/06/06 00:00:00+00,27949,2AC3EDC2-C107-41C4-950E-EA45F3105CCE,10013586,MTBS,,-59,15,
-161.033183638039,65.7637405419364,24503,AK6576716102920180605,Initial,807901420170806,807801420180818,-970,60,210,9999,65.761,-161.032,Wildfire,FAIRHAVEN CREEK,-150,2018/06/05 00:00:00+00,1931,307AC9BE-A673-4D9A-8F4B-ECBA1E3268B8,10013681,MTBS,,5,9,
-151.731303492643,65.9179169327268,24504,AK6591015176520180606,Initial,807201420160615,807201420180707,-970,-20,293,610,65.912,-151.726,Wildfire,KILOLITNA RIVER,-150,2018/06/06 00:00:00+00,11556,5234968B-ADD5-4E14-881C-620784196EE6,10013599,MTBS,,-66,18,
-155.031330261517,65.9374624655788,24505,AK6594715517520180604,Extended,807401420170702,807501420190613,-970,70,310,580,65.931,-155.025,Wildfire,DENIKTAW RIDGE,-150,2018/06/04 00:00:00+00,21497,CD30C853-9CD4-426C-8C3B-29D3A0448248,10013471,MTBS,,31,14,
