X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS
-152.3203248,57.60554569,20718,AK5761615232120150828,Extended,8.07E+14,8.07E+14,-970,50,297,570,57.604,-152.322,Wildfire,TWIN CREEKS,-150,2015/08/28 00:00:00+00,3418,687AFCA7-BA13-47FA-A031-207CF36282B6,26151,MTBS,7.07E+14,-65,26,
-157.5526813,58.83533552,20719,AK5884115754320150622,Extended (SS),,8.07E+14,9999,430,200,-9999,58.835,-157.556,Wildfire,COPENHAGEN CREEK,9999,2015/06/22 00:00:00+00,5335,4E0DB844-F9BC-4C32-8412-96146C4832B4,26307,MTBS,,-9999,-9999,
-156.410272,58.85235335,20720,AK5884415640120150621,Extended,8.07E+14,8.07E+14,-970,30,290,570,58.853,-156.422,Wildfire,PAULS CREEK,-150,2015/06/21 00:00:00+00,9683,83411C81-A862-47DA-96C7-611521AAE54F,26314,MTBS,8.07E+14,-64,36,
-157.4377436,58.91526164,20721,AK5890415740520150704,Extended,8.07E+14,8.07E+14,-970,20,275,550,58.915,-157.443,Wildfire,COPENHAGEN,-150,2015/07/04 00:00:00+00,3207,3E546BC0-7318-4D2B-8318-EED0896C812E,26310,MTBS,8.07E+14,-80,12,
-160.2363259,59.28618154,20722,AK5925816024020150622,Extended,8.08E+14,8.07E+14,-970,50,281,540,59.28,-160.233,Wildfire,GECHIAK LAKE,-150,2015/06/22 00:00:00+00,16919,390ED0A0-5970-4E3E-9645-F8F5A3887844,26297,MTBS,8.08E+14,26,16,
-158.3566036,59.56796896,20723,AK5955415836020150711,Extended,8.07E+14,8.07E+14,-970,90,393,720,59.574,-158.358,Wildfire,LITTLE KOKWOK,-150,2015/07/11 00:00:00+00,2233,7E194CAA-B6B3-4F00-A610-7DF224FAFFBE,26340,MTBS,,86,21,
-158.2468835,59.61512699,20724,AK5960815825420150621,Extended,8.07E+14,8.07E+14,-970,40,380,730,59.615,-158.246,Wildfire,KOKWOK RIVER,-150,2015/06/21 00:00:00+00,1923,807660E8-1647-4F72-B62F-B1C54CF610CB,26338,MTBS,7.07E+14,93,28,
-159.8245352,60.26923564,20725,AK6025715983220150620,Extended,8.07E+14,8.07E+14,-970,110,309,550,60.267,-159.815,Wildfire,LITTLE SWIFT CREEK,-150,2015/06/20 00:00:00+00,1617,AA59596A-B38B-4613-A1EC-B02EBFCF3E48,26652,MTBS,,39,21,
-157.8181355,60.30676621,20726,AK6030315782720150623,Extended,8.07E+14,8.07E+14,-970,80,314,580,60.304,-157.814,Wildfire,KING SALMON RIVER 1,-150,2015/06/23 00:00:00+00,2418,06D4280C-4A1F-4202-84D7-608A919DCE5C,26342,MTBS,,66,17,
-150.540402,60.49191005,20727,AK6051015063620150615,Extended,8.07E+14,8.07E+14,-970,50,302,580,60.492,-150.545,Wildfire,CARD STREET,-150,2015/06/15 00:00:00+00,7366,B281A9C0-9062-4D03-9ECB-3194B80BE3E1,26154,MTBS,8.07E+14,-88,42,
-157.4721874,60.68297904,20728,AK6070715747820150622,Extended,8.07E+14,8.07E+14,-970,50,313,600,60.685,-157.474,Wildfire,CHICHITNOK RIVER,-150,2015/06/22 00:00:00+00,4628,AD5B2F00-B151-4D61-BA03-43A68E8804E6,26339,MTBS,,86,30,
-158.6950185,60.72767701,20729,AK6071715870020150624,Extended,8.07E+14,8.07E+14,-970,60,414,780,60.727,-158.693,Wildfire,GEMUK RIVER,-150,2015/06/24 00:00:00+00,1001,2C27D9CA-E64D-433C-8102-1144D03B314A,26335,MTBS,8.07E+14,-5,36,
-161.1924541,60.78644598,20730,AK6078416129320150624,Extended,8.08E+14,8.08E+14,-970,40,207,410,60.783,-161.183,Wildfire,KWETHLUK RIVER 2,-150,2015/06/24 00:00:00+00,23912,BDD68196-DDAC-4FA8-AE4C-7831A2FC6CE9,26303,MTBS,,-48,16,
-160.7539923,60.92702819,20731,AK6089416075820150620,Extended,8.08E+14,8.08E+14,-970,10,207,430,60.933,-160.772,Wildfire,FOG RIVER,-150,2015/06/20 00:00:00+00,39019,4BBC2596-1B54-413F-96B6-9E6E72227F37,26284,MTBS,,-32,16,
-153.9879394,60.94761541,20732,AK6093415398520150622,Extended,8.07E+14,8.07E+14,-970,40,288,560,60.947,-153.986,Wildfire,OLD VILLAGE,-150,2015/06/22 00:00:00+00,1986,0C2A027E-849B-402B-ADB9-DEE988C55256,26334,MTBS,7.07E+14,-48,19,
-154.7287884,61.05918209,20733,AK6108315491720150601,Extended,8.07E+14,8.07E+14,-970,50,270,520,61.06,-154.68,Wildfire,CAN CREEK,-150,2015/06/01 00:00:00+00,51940,73FA70EB-173D-4C79-8B95-EBD4581C6CEF,26640,MTBS,,4,24,
-163.1588953,61.12395293,20734,AK6112116317120150623,Extended,8.08E+14,8.08E+14,-970,20,194,400,61.124,-163.179,Wildfire,PUK PALIK LAKE,-150,2015/06/23 00:00:00+00,15890,3D310F3F-8B5B-4AD3-9EF7-A8A3C2E6C5BE,26299,MTBS,,-26,8,
-154.5991769,61.17331333,20735,AK6118715463620150624,Extended,5.07E+14,8.07E+14,-970,90,328,600,61.175,-154.608,Wildfire,ROCK CREEK,-150,2015/06/24 00:00:00+00,9308,AADB6C4C-74AF-4E07-875E-762C48A36FB2,26328,MTBS,,65,21,
-160.2959622,61.1830344,20736,AK6120516033620150601,Initial,8.08E+14,8.08E+14,-970,50,249,480,61.184,-160.254,Wildfire,BOGUS CREEK,-150,2015/06/01 00:00:00+00,26393,86CD9D07-660E-4246-B725-6A39EB79F751,26283,MTBS,,-90,15,
-157.4814655,61.27335429,20737,AK6127415747820150711,Extended,8.07E+14,8.07E+14,-970,60,317,600,61.274,-157.483,Wildfire,CHUILNUK RIVER,-150,2015/07/11 00:00:00+00,1332,B12E5BFF-29C2-4538-AE39-FEAB589F8E7A,26313,MTBS,,58,7,
-163.1957626,61.27026958,20738,AK6130716321820150623,Extended,8.08E+14,8.08E+14,-970,50,205,400,61.269,-163.212,Wildfire,IZAVLKNEK RIVER,-150,2015/06/23 00:00:00+00,23341,4E858BD7-1F26-4695-A822-4B081186826C,26287,MTBS,,-25,8,
-159.7806205,61.30767237,20739,AK6131915985520150624,Extended,8.08E+14,8.08E+14,-970,10,234,480,61.301,-159.803,Wildfire,OPHIR CREEK,-150,2015/06/24 00:00:00+00,31489,A3A71744-F6CE-47BC-B776-EB3012E5CEC8,26269,MTBS,,-55,27,
-162.7336525,61.28600921,20740,AK6133716252320150622,Extended,8.08E+14,8.08E+14,-970,30,209,420,61.278,-162.765,Wildfire,KUKA CREEK 4,-150,2015/06/22 00:00:00+00,70232,24B811DF-9A50-49DE-8EBE-C910882CCA1F,26292,MTBS,,-15,26,
-155.8049876,61.37144226,20741,AK6136115580720150621,Extended,8.07E+14,8.07E+14,-970,50,297,570,61.37,-155.809,Wildfire,KUTOKBUNA LAKE,-150,2015/06/21 00:00:00+00,12243,562034AD-1702-4A69-B3AD-BE5ED68D889E,26316,MTBS,,34,14,
-160.3748984,61.35705213,20742,AK6138116038420150601,Extended,8.08E+14,8.08E+14,-970,10,191,400,61.348,-160.304,Wildfire,WHITEFISH LAKE 1,-150,2015/06/01 00:00:00+00,70979,288CC4F6-A4A0-473F-ADA4-BCCCB2C9802B,26279,MTBS,,-75,25,
-157.8610317,61.4609713,20743,AK6147815785720150620,Extended,8.08E+14,8.07E+14,-970,50,286,550,61.462,-157.862,Wildfire,OSKAWALIK RIVER,-150,2015/06/20 00:00:00+00,2303,57CA98B8-2184-4080-B446-FDC47212DBF6,26312,MTBS,,26,12,
-155.8728343,61.49534395,20744,AK6149815578120150620,Extended,5.07E+14,8.07E+14,-970,70,288,540,61.496,-155.916,Wildfire,WHY LAKE,-150,2015/06/20 00:00:00+00,46360,CEE1E9AA-5ACC-4A17-8D6A-2A0D1F9608A2,26322,MTBS,,14,27,
-156.6567934,61.58326531,20745,AK6159015666120150621,Extended,8.07E+14,8.07E+14,-970,10,217,450,61.584,-156.655,Wildfire,BASKET CREEK #2,-150,2015/06/21 00:00:00+00,1138,228D787B-2C4F-4709-A0D0-C55ADA5B0BEE,26320,MTBS,,-80,12,
-159.2411952,61.63175958,20746,AK6164015926820150623,Extended,8.08E+14,8.08E+14,-970,40,250,490,61.627,-159.249,Wildfire,MISSION CREEK,-150,2015/06/23 00:00:00+00,2982,2AA4D719-1F6A-4097-8B97-339A8D8C85FE,26267,MTBS,,-55,11,
-159.6500511,61.64877004,20747,AK6165415966120150623,Extended,8.08E+14,8.08E+14,-970,20,254,510,61.651,-159.635,Wildfire,NORTH ANIAK,-150,2015/06/23 00:00:00+00,57410,77156B17-0ECB-4EB3-BF26-DF7282A296EE,26268,MTBS,,-25,12,
-159.4651895,61.8343624,20748,AK6180015953320150624,Extended,8.08E+14,8.08E+14,-970,10,244,500,61.841,-159.483,Wildfire,OWHAT RIVER,-150,2015/06/24 00:00:00+00,40921,EFAD3284-EDDF-43D5-85A8-7995764B733F,26276,MTBS,,-36,12,
-150.1032689,61.80180968,20749,AK6184515008520150614,Extended,8.07E+14,8.07E+14,-970,60,290,550,61.797,-150.108,Wildfire,SOCKEYE,-160,2015/06/14 00:00:00+00,6538,DC792783-D4A7-40C1-A230-4689DAD60CB2,26164,MTBS,8.07E+14,-76,17,
-158.2390554,61.79941666,20750,AK6185815828420150621,Extended,8.07E+14,7.08E+14,-970,20,254,510,61.802,-158.24,Wildfire,VILLAGE CREEK,-150,2015/06/21 00:00:00+00,16711,EE3BFBD2-E617-48C7-8598-D42F146920FE,26306,MTBS,,-44,21,
-158.9397367,61.95705186,20751,AK6194115897320150621,Extended,8.08E+14,8.08E+14,-970,50,281,540,61.952,-158.941,Wildfire,QUINN CREEK,-150,2015/06/21 00:00:00+00,11697,7869680E-64C5-4B80-9451-64B46813C5F1,26275,MTBS,,-3,16,
-160.7816289,62.25915051,20752,AK6221716090020150625,Extended,8.08E+14,8.08E+14,-970,40,293,570,62.251,-160.75,Wildfire,STUYAHOK RIVER,-150,2015/06/25 00:00:00+00,45239,3BCDA6E0-8714-4985-AEBA-BF99BA4673BD,26364,MTBS,7.08E+14,-48,13,
-156.5581077,62.21905589,20753,AK6222115659020150622,Extended,8.07E+14,8.07E+14,-970,20,237,480,62.218,-156.555,Wildfire,LITTLE SOUTH FORK,-150,2015/06/22 00:00:00+00,3453,F780EA48-3903-44E4-9CF1-385EF63262FF,26390,MTBS,,-33,37,
-158.6518196,62.27338853,20754,AK6228315871720150620,Extended,8.08E+14,8.08E+14,-970,20,254,510,62.276,-158.653,Wildfire,REINDEER RIVER,-150,2015/06/20 00:00:00+00,15423,A9955151-56E8-4A32-8755-BB4F1E3BDF70,26330,MTBS,,-23,15,Burn scar to the W is 2016 fire and not included.
-160.9773059,62.36565377,20755,AK6239116102520150625,Extended,8.08E+14,8.08E+14,-970,50,324,620,62.367,-160.965,Wildfire,HAWK RIVER,-150,2015/06/25 00:00:00+00,15566,E4549611-F86C-4A77-B636-9F49489681AC,26356,MTBS,8.08E+14,2,12,
-158.342292,62.47069716,20756,AK6246315841120150623,Extended,8.08E+14,8.08E+14,-970,20,248,500,62.481,-158.334,Wildfire,LOWER REINDEER PEAK,-150,2015/06/23 00:00:00+00,47611,61F00EAE-62DE-47EC-BC68-FCB15B14D746,26331,MTBS,,-24,18,
-141.6842964,62.48097524,20757,AK6246414163320150609,Extended,8.06E+14,8.06E+14,-970,50,292,560,62.487,-141.654,Wildfire,CHISANA RIVER  2,-150,2015/06/09 00:00:00+00,37941,8469AC84-7174-4B0E-B1CA-07BA542090DB,26096,MTBS,8.06E+14,17,32,
-157.4179278,62.52105115,20758,AK6252015747620150624,Extended,8.08E+14,8.07E+14,-970,80,308,570,62.519,-157.399,Wildfire,LITTLE MONTANA CREEK,-150,2015/06/24 00:00:00+00,4335,402F3FAC-9BC1-4850-B0E7-D4977EEDD50A,26358,MTBS,,59,17,
-158.0216558,62.5560896,20759,AK6259815802820150620,Extended,8.08E+14,8.08E+14,-970,20,248,500,62.549,-158.022,Wildfire,IDITAROD RIVER,-150,2015/06/20 00:00:00+00,60898,6088932C-D68C-420C-AF17-CB1A3C4C035F,26329,MTBS,,-34,20,
-157.5751056,62.60478725,20760,AK6262415759820150620,Extended,8.08E+14,8.07E+14,-970,60,312,590,62.6,-157.588,Wildfire,HICKEY CREEK,-150,2015/06/20 00:00:00+00,33691,E01765FF-1673-4A82-8BD5-277406D73E86,26357,MTBS,,45,14,
-157.261216,62.76662775,20761,AK6277415728220150622,Extended,8.08E+14,8.07E+14,-970,70,299,560,62.768,-157.275,Wildfire,MAYBE CREEK,-150,2015/06/22 00:00:00+00,10827,95E7DFF7-5F61-459C-9C98-B680DF9A2E37,26354,MTBS,,45,14,
